ID,캐릭터이름,대사,,,
1,환자A,⒭@으으....@,환자 최초대사,,
2,노아,§㉡㉧③§@실례합니다만... 혹시 오늘 무슨 문제가 있어서 찾아오셨나요?@,,,
3,환자A,⒭@으..? 나 말인가?@,,,
4,환자A,⒭@요즘 ⓡ(●불면증)ⓦ 때문인지 통 잠을 못자서 말이야... 그래서 수면제라도 처방 받아볼까 해서 찾아왔지.@,,,
5,노아,§㉡㉧③§@그러셨군요. 감사합니다.@,,,
6,환자A,⒭@너무 피곤하군...@,환자 반복1,,
7,환자A,⒭@으으...@,환자 반복2,,
8,노아,§㉡㉧③§@선생님 죄송합니다만 하나만 더 여쭤볼게 있어서요.@,//키워드 악몽.,,
9,노아,§㉡㉧③§@혹시 최근에 ⓡ(악몽)ⓦ을 꾸고 계시지 않으신가요?@,,,
10,환자A,⒭@엇..! 그걸 어찌 알았나?@,,,
11,환자A,⒭@안 그래도 최근에 꽤나 무서운 꿈을 계속 꾸고 있는지 새벽마다 깜짝 놀래며 일어난다네. @,,,
12,환자A,⒭@정작 그게 무슨 꿈이었을까 일어나서 생각해보면 머리속에 안개가 낀 것처럼 생각이 나질 않으니...@,,,
13,환자A,⒭@뭐^ 그것도 다 불면증 때문에 잠을 잘 못자서 그런것 아니겠나. 약을 처방 받으면 상황이 좀 나아지겠지.@,,,
14,노아,§㉡㉧③§@...그렇군요. 감사합니다.@,,,
15,환자A,⒭@정말이지 ⓡ(불면증)ⓦ 때문에 요즘 일도 손에 안잡히고 스트레스가 이만저만이 아니라네.@,키워드 불면증,,
16,환자A,⒭@나도 모르게 짜증을 낼 때도 많아져서 주변 사람들에게도 미안하고 말이야.@,,,
17,환자A,⒭@요즘 낮 시간대에는 사람이 많이 밀린다지?@,키워드 병원,,
18,환자A,⒭@난 시간대 때문에 어쩔수 없이 지금 왔지만 말이야.@,,,
19,환자A,⒭@글쎄.. 못 들어본 이야기네만.@,그 이외 키워드,,
20,의사,⒭@미안합니다만 지금은 바빠서 이야기 할 시간이 없네요. 나중에 저녁 시간대나 다시 와보세요.@,최초,,
21,,⒭바빠서 그런지 반응이 없습니다.,반복1,,
