ID,캐릭터이름,대사,
1,노동자 A,⒭@젠장할..@,노동차 A 최초
2,   ,⒭노동자는 화가 났는지 술을 거칠게 들이키고 있습니다.,
3,,⒭당신이 말을 걸어도 반응하지 않습니다.,반복
4,노아,§㉡㉧⑤§@안녕하십니까. 무슨일이라도 있으신가요?@,노동자B 최초
5,노동자 B,⒭@음? 그건 알아 뭣하게. 술이라도 한잔 사주게?@,
6,노아,§㉡㉧⑤§@물론 그래 드릴수 있죠. 그리고 이야기 하다보면 뭐^ 속이라도 좀 편하지 않겠습니까.@,
7,노동자 B,⒭@흐음......@,
8,노동자 B,⒭@실은 나랑 옆의 이 친구랑 여기 아컴시에서 일하던 하수구 노동자야.@,
9,노동자 B,⒭@근데 빌어먹을 사장 녀석이 갑자기 ⓡ(●해고)ⓦ를 하지 뭐야.@,
10,노아,§㉡㉧⑤§@갑자기요? 이전에도 그런일이 있었나요?@,
11,노동자 B,⒭@원래 힘든일인지라 사람도 적고해서 그런일이 없었는데 요 몇달부터는 계속해서 인원을 교체하더라고.@,
12,노아,§㉡㉧⑤§@이상한 일이네요... 혹시 소속된 곳이 어디셨나요?@,
13,노동자 B,⒭@시청에서 하청을 받고 일하는ⓑ(●하수정비사무소)ⓦ 였어. 강가 근처에 있지.@,
14,노아,§㉡㉧⑤§@그렇군요. 알려주셔서 감사합니다.@,
15,노동자 B,⒭@뭘. 오히려 말하고나니 좀 개운하기도 하고.@,
16,   ,⒭옆에 사람과 대화중이다.,반복
17,맥켄리,⒭@오~ 노아. 오랜민이잖아.@,최초대화
18,노아,§㉡㉧⑤§@그렇게 됬지뭐야. 별일은 없고?@,
19,맥켄리,⒭@여기야 항상 똑같지. 요새는 경찰이 검문하는게 줄어서 조금 편해진 정도?@,
20,노아,§㉡㉧⑤§@조직 쪽에서는 아직도 그대로?@,
21,맥켄리,⒭@잘 보일 일이 최근에는 없어서 말이야~ 보스도 최근에는 휴가를 떠났거든.@,
22,맥켄리,⒭@이상하게도 이번엔 간부진들이 대거 떠나서 나같은 말단이나 양아치들만 남았어.@,
23,노아,§㉡㉧⑤§@그거참 별일이네. @,
24,맥켄리,⒭@대부분 늙은이 들이니까 이런 칙칙한 도시에 계속있긴 싫었겠지. 여름이기도 하고.@,
25,맥켄리,⒭@너야말로 별일이 있나보네^ 여기에 온걸보면 새로 의뢰라도 받은거지?@,
26,맥켄리,⒭@흥미진진한 쪽? 아님 위험한쪽? 아님 둘다?@,
27,노아,⒭@아직까진 잘 모르겠는데 둘 다 아니지 않을까. 아무튼 돈은 되는 일이지.@,
28,맥켄리,⒭@그거 잘됬네 요즘에 일도 별로 없는거 같더니.@,
29,맥켄리,⒭@술은 늘 마시던거지? 오늘은 손님도 없으니까 느긋하게 있다 가~@,종료
30,맥켄리,⒭@음~?@,반복1
31,맥켄리,⒭@뭐 물어볼거라도 있어?@,
32,노아,⒭@어때 들어본 이름이야?@,에이든  트리스
33,맥켄리,⒭@으음~ 자주도 아니고 심각한 사건도 아니었지만 마찰이 소소하게 있었던걸로 기억해.@,
34,맥켄리,⒭@귀찮게 한건지 화나게 한건지 우리쪽 애가 총을 갈겨버린적이 있거든. 죽지는 않았으니까 다행이었지.@,
35,맥켄리,⒭@근데 뭐 내가 자세히 모를 정도인걸 보면 그렇게 중요한 문제도 아니었고^ 상부에서는 신경도 안쓰는 일 이었을걸?@,
36,맥켄리,⒭@내가 아는 한에서는 우리쪽에서 그 인간에 손댄건 아니야.@,
37,맥켄리,⒭@흠~. 듣기만해도 심란해지는 이야기네. 아무튼 결론만 말하면 우리 조직 쪽에서 뭔가 한건 아니야.@,실종된 사람들.
38,맥켄리,⒭@그럴 이유도 없고^ 그랬으면 경찰쪽에서 가만히 있진 않았겠지. @,
39,맥켄리,⒭@아아. 그거라면 나도 맡아본적 있어. 어시장이나 항구에서나 맡을법한 찝찝한 냄새였는데@,비릿한 냄새
40,맥켄리,⒭@생선이라도 썩어있나 해서 찾아봤는데 그건 또 아니더라고.@,
41,맥켄리,⒭@저 사람들? 최근에 자주 오고 있지. 부당 해고를 당했다나 뭐라나.@,부당해고당한 하수구 노동자
42,맥켄리,⒭@난리 안피우고 진탕 마셔주니까 내 입장에서는 좋을 따름이지.@,
43,맥켄리,⒭@그건 잘 모르겠는걸.@,그외
