ID,캐릭터이름,대사,
1,???,⒭@음? 처음보는 사람인데? 무슨일로 찾아왔지?@,최초 대사
2,,당신은 그에게 시에서 발급 해주는 사립탐정증을 보여주며 말합니다.,
3,노아,§㉡㉧⑤§@저는 아컴시에서 사립탐정으로 일하고 있는  ⓖ(노아 베일리스)ⓦ 라고 합니다.@,
4,노아,§㉡㉧⑤§@다름이 아니라 ⓖ(에이든 트리스)ⓦ씨에 대해 여쭤볼 것이 있어 찾아왔습니다.@,
5,???,⒭@아 - 하. 탐정 나으리라^ 아주 반갑군 그래.@,
6,노아,§㉡㉧⑤§@혹시 그에 대해서 좀 알 수 있을까요?@,
7,???,⒭@내가 왜 그래줘야 하지? 아무런 득도 없이 남에 뒷 이야기나 하고 있을 시간 없으니까 딴데나 물어봐.@,
8,노아,§㉡㉧⑤§@그런...@,
9,,아무래도 그는 더 이상 당신의 말을 들을 생각이 없어 보입니다.,
10,???,⒭@자꾸 그러면 쫓아낼꺼야.@,이름얻기전 반복1
11,???,⒭@......@,반복2
12,,당신은 그를 설득합니다.,기능판정 - 언변술
13,노아,§㉡㉧⑤§@선생님 지금이 그렇게 단순한 상황이 아닌거 같습니다.@,
14,노아,§㉡㉧⑤§@ⓖ(트리스)ⓦ씨는 최근 몇일째 출근도 하지 못하신다면서요@,
15,노아,§㉡㉧⑤§@아내 분께서도 도움을 청할 곳이 없어서 저희 쪽으로 찾아오셨습니다.@,
16,노아,§㉡㉧⑤§@제가 굳이 이런일로 거짓말을 할 필요도 없지 않겠습니까.@,
17,,§㉡㉧⑤§@말하셨던 것처럼 아무런 득도 없이 남의 뒷 이야기나 알고 다닐 필요는 없을테니까요.@,
18,???,⒭@흠... 그것도 맞는 말이긴해. 그녀석이 최근에 상태가 많이 안좋긴 했어.@,
19,???,⒭@그래^ 뭐 내가 판단해서 말해도 되는것 같은 이야기면 해줘도 나쁠건 없겠지.@,
20,스탠리 큐브릭,⒭@그러기 전에 짧게 내 소개 부터 하자면 난 ⓖ(●스탠리 큐브릭)ⓦ이라고 해. @,
21,스탠리 큐브릭,⒭@보다싶이 이 신문사의 기자고 에이든의 동료이자 친구야.@,
22,스탠리 큐브릭,⒭@물어보고 싶은게 있다면 물어보도록 해.@,
23,스탠리 큐브릭,⒭@혈기 왕성한 녀석이지. 젊었을 때 모습에서 변한게 없어.@,에이든 키워드
24,스탠리 큐브릭,⒭@너무 열정적이어서 한번씩 다치고 그랬는데 그때마다 아내가 엄청 걱정하곤 했어.@,
25,스탠리 큐브릭,⒭@그래도 웃으며 열심히 일하는 좋은 사람인지라 사장이나 주변사람들도 좋아했어.@,
26,스탠리 큐브릭,⒭@빨리 회복되면 좋을텐데 말이야..@,
27,스탠리 큐브릭,⒭@참하고 착한 사람이지. ⓖ(에이든)ⓦ 한테는 아까운 사람이야.@,엘라 키워드
28,스탠리 큐브릭,⒭@ⓡ(악몽)ⓦ이라.. 내가 직접 경험해보지 못해서 딱히 해줄 이야기가 없네.@,악몽 키워드
29,스탠리 큐브릭,⒭@ⓖ(에이든)ⓦ도 그런거랑은 거리가 먼 녀석이었는데 말이지.@,
30,스탠리 큐브릭,⒭@그래 그래^ 최근 그걸로 시끄럽지. 뭐^ 우리같은 사람들이 이해나 하겠어? 그냥 그런가보다 하고 싣는거지.@,행성대직렬 키워드
31,노아,§㉡㉧⑤§@그렇군요. 뭐 그것 말고 또 다른 특별한 일 같은건 없습니까?@,
32,스탠리 큐브릭,⒭@특별한 일이라... 최근 나도는 이야기 중에는 사람들의 ⓡ(●불면증)ⓦ이 늘어났다는 거랑 @,
33,스탠리 큐브릭,⒭@도시 내에서 ⓡ(●비릿한 냄새)ⓦ가 난다는것 정도?@,
34,노아,§㉡㉧⑤§@답변 감사합니다. 혹시 ⓖ(트리스)ⓦ씨는 최근에 뭘 취재하고 계셨는지 아시나요?@,
35,스탠리 큐브릭,⒭@글쎄 그건 정말 모르겠군. 기자들 끼리는 그런걸 서로 묻지 않는게 암묵적 규칙이라서 말이야.@,
36,스탠리 큐브릭,⒭@잘못 말했다가 기사거리를 채가는 녀석들이 있거든. 그래서 친한 사이라도 잘 물어보고 그러지 않아.@,
37,노아,§㉡㉧⑤§@아하...@,
38,노아,§㉡㉧⑤§@혹시 뭐 마음에 걸리는 거라도 있으신가요?@,언변술 이후 심리학
39,노아,§㉡㉧⑤§@조금 불편해 보이시는데 말이죠.@,
40,스탠리 큐브릭,⒭@으흠... 누가 탐정 아니랄까봐 감이 좋네.@,
41,스탠리 큐브릭,⒭@..... 지금부터 하는 이야기는 되도록 다른사람에게는 이야기 하지 말도록 해.@,
42,스탠리 큐브릭,⒭@그래봐야 너한테 좋을일이 하나도 없을 거거든.@,
43,노아,§㉡㉧⑤§@그러도록 하겠습니다. 그래서 그 내용이 뭔가요?@,
44,스탠리 큐브릭,⒭@최근 아컴시에 ⓡ(●연속 실종 사건)ⓦ이 발생하고 있다는 정보를 가지고 있어.@,
45,스탠리 큐브릭,⒭@일반적인 사건과 다르게 부랑자들이 아닌 나름 건실하게 살고 있는사람들이 갑자기 사라진다더군 심지어 상류층 까지도.@,
46,스탠리 큐브릭,⒭@원래는 단독기사로 쓰려고 몰래 취재중인건데 너에게만 알려주는거야.@,
47,스탠리 큐브릭,⒭@다른 것도 아니고 탐정 녀석들이 하는 말을 다른사람들이 쉽게 믿을거 같지도 않고.@,
48,스탠리 큐브릭,⒭@너가 ⓖ(에이든)ⓦ에 대해서 조사하다가 혹시 ⓡ(연속 실종 사건)ⓦ에 대해서 아는게 나올지도 모르잖아?@,
49,노아,§㉡㉧⑤§@...그렇군요. 저도 혹시나 관련된 이야기를 알게되면 말씀드리도록 하겠습니다.@,
50,스탠리 큐브릭,⒭@그래 그래.@,
51,스탠리 큐브릭,⒭@뭐 더 물어볼거라도 있나?@,이름얻고 반복1
52,스탠리 큐브릭,⒭@흐음..@,반복2
53,,결국에 그를 설득해 내지 못했습니다,언변술 실패
54,,딱히 알 수 있는 것은 없었습니다.,심리학실패
55,스탠리 큐브릭,⒭@쉿! 그렇게 큰소리로 말하지 말라구.@,경찰서 실종 정보 1키워드 사용.
56,스탠리 큐브릭,⒭@보나마나 너도 경찰서 쪽에 지인이 있어서 그 얻을 수 있었나 본데^ 공공연히 말하고 다녀서 좋을게 없어.@,
57,스탠리 큐브릭,⒭@...... 부탁 하나만하지. ⓡ(●연속 실종 사건)ⓦ은 내가 단독기사로 내려고 조용히 조사중인 건이거든?@,
58,스탠리 큐브릭,⒭@그래서^ 혹시 실종사건과 관련된 정보를 얻게 되면 나에게도 말해줘.@,
59,스탠리 큐브릭,⒭@대신 나도 추가적으로 얻는 정보가 있다면 너에게 말해줄께.@,
60,노아,§㉡㉧⑤§@뭐.. 그러도록 하죠.@,
61,스탠리 큐브릭,⒭@뭐야 너도 경찰쪽에 지인이 있었어?@,경찰서 실종 정보 1키워드 사용.
62,스탠리 큐브릭,⒭@하여튼.. 서로 정보를 얻게되면 교환 하는걸로 하자고.@,
63,스탠리 큐브릭,⒭@되도록 다른 사람에게는 말하지 않도록 하고.@,
64,스탠리 큐브릭,⒭@최근에 그런 냄새가 나는 장소가 늘어나고 있다지?@,비릿한냄새
65,스탠리 큐브릭,⒭@뭐 근데 모든 곳에서 그러는 것도 아니고^ 냄새가 나는 곳도 계속해서 그런건  아니라더라고.@,
66,스탠리 큐브릭,⒭@시청에서 알아서 처리해 주겠지.@,
67,스탠리 큐브릭,⒭@최근 그런 소문이 돌기도 했지.@,하수도괴담
68,스탠리 큐브릭,⒭@어떤 부자가 밀수로 들여온 애완 악어를 키우기 힘들어 하수도에 풀어줬고.@,
69,스탠리 큐브릭,⒭@그게 자라나서 사람들을 공격한다나 뭐라나.@,
70,스탠리 큐브릭,⒭@말이 되는 이야긴가 싶긴한데^ 의외로 목격담도 있긴 있다나봐?@,
71,스탠리 큐브릭,⒭@뭐..? 하수도에서 섬뜩한 눈을 목격했다고?@,섬뜩한 눈
72,스탠리 큐브릭,⒭@ⓡ(●하수도의 이상한 괴담)ⓦ에서 말하는 악어라도 본거 아냐?@,
73,스탠리 큐브릭,⒭@하하.. 뭐 실제로는 일하는 사람이었겠지 뭐.@,
