ID,캐릭터이름,대사,
1,,1921년 7월 11일 월요일. 오전 8시,
,,당신은 당신의 사무소에서 신문을 읽고 있었습니다.,
,,조간 신문과 함께 즐기는 여유로운 오전시간이 되었으면 좋았겠지만,
,,실제로는 그렇지 않은듯 하군요.,
,,오히려 당신은 무기력함과 동시에 약간의 나른함을 느끼고 있습니다.,
,,이유야 간단합니다.,
,,최근들어 도시가 조용해도 너무나 조용하기 때문이죠.,
,,근 일주일동안 시청으로부터 아무런 의뢰도 들어오지 않았습니다.,
,,하다 못해 남의 집 애완동물을 찾아주는 허드렛일 조차도요.,
2,노아,§㉡㉧④§'얼마전에 허드슨에게 요즘은 왜이리 조용하냐고 물어보니',
,,§㉡㉧④§'이게 정상적인거라고 그랬었지',
,,§㉡㉧⑩⑨§'어쩌면 내 감각이 이상해졌던 걸지도.',
3,,⒭그렇게 생각하며 당신은 잠깐 주변을 둘러봅니다.,
,,당신의  사무보조인 멜리사가 자신의 자리에 앉아 조용히 책을 읽고 있네요.,
,,그걸 보며 당신은...☆①,
4,노아,§㉡㉧⑦§멜리사 커피나 한잔 내와주겠어?,(커피타줘)
5,멜리사,⒭그래요,
6,,⒭그녀가 자리에 책을 덮어 두고는 퉁명스럽게 대답하며 일어납니다,
,,그리고는,
7,멜리사,⒭기왕 이렇게 된거 그냥 집에서 푹 쉬시지 그러셨어요.,
8,,⒭평상시에도 조금 쌀쌀맞은 그녀입니다만 오늘은 유독 더 그러는것 같네요.,
9,노아,§㉡㉧⑫②§하지만 주변이 평화로운걸 내가 어떻게 하겠어,
,,§㉡㉧①§이거봐 신문사도 내보낼 소식이 없는지 이런거나 내보내고 있잖아,
10,,⒭당신이 내민 신문의 헤드라인에는 대문짝만한 크기로  [1000년만의 우주 대행렬이 시작된다!] 라는 글씨가 써 있습니다,
11,멜리사,⒭그 내보낼 소식이 없는 신문사가 하는 노력의 절반 만큼 이라도 해보시는건 어떨까요?,
12,,⒭그녀가 당신앞에 김이 모락모락 나는 커피를 가져다 놓으며 말합니다,
,,어쩌면 저번에 이야기했던^ 이번달엔 일이 적었으니 월급도 좀 적게 줘도 되겠다는 농담을,
,,마음에 담아두고 있는걸지도 모르겠네요.,
13,노아,§㉡㉧①§그렇게 말해도 말이지..,
14,,⒭그렇게 말하며 당신이 잔을 막 입에 대려는 순간^★①,띵동으로이동
15,노아,§㉡㉧⑫§'어차피 할 일도 없고 직접 타먹지 뭐',
16,,⒭당신은 커피를 타러 자리에서 일어납니다,
,,어제 쓰고 남은 물이 담긴 주전자에 불을 올리며 인스턴트 커피통을 꺼냅니다,
17,노아,§㉡㉧⑫§'커피도 벌써 떨어져 가는군..',
,,§㉡㉧⑨§멜리사도 커피 한잔 필요해?,
18,,⒭멜리사가 책에서 눈을 때지 않은 상태로 대답합니다.,
19,멜리사,⒭아뇨 저는 괜찮아요,
20,노아,§㉡㉧⑨§음.. 그래. 그럼 나중에 장볼때 커피 좀 사와줘. ,
21,멜리사,⒭그럴게요.,
22,,⒭얼마 지나지 않아 물이 끓고 김이 올라옵니다,
,,대충 쏟아붇고는 뜨거운 물로 커피 한잔을 타낸 당신은 자리로 다시 돌아옵니다,
,,그리고는 다시 신문에 집중합니다.,
,,오늘의 헤드라인은 [1000년만의 우주 대형렬이 시작된다!] 라고 적혀 있습니다.,
,,자세한 내용을 읽어보니  태양을 중심으로 내행성인 수성^ 금성 그리고 지구,
,,외행성에 속하는 화성^ 목성^ 토성 이렇게 총 5개의 행성이 일렬로 늘어서는 ☆②㉧㉤ⓡ(행성대직렬)ⓦ이 4일뒤 새벽에 일어난다는 소식입니다.,
23,노아,§㉡㉧④§'이번엔 천문학자들이 연구비가 다 떨어졌나봐? 뭐^ 어린애들은 좋아할만한 소식이겠네.',
24,,⒭그렇게 생각한 당신은 그 이외에 기사도 읽어보려 신문을 뒤적거렸지만^ 특별히 이목을 끄는 기사는 없었습니다.,
25,노아,§㉡㉧⑫④§'이렇게 의미없이 앉아있을거 차라리 오늘은 일찍 문이나 닫고 허드슨네 바에 놀러나 갈까...',
26,,⒭그렇게 태평한 생각을 하며 신문을 탁자위로 던져놓으려는데...★①,
27,,⒭괜히 귀찮게 하지 말고 그냥 읽던 신문이나 마저 읽기로 합니다.,
,,자세한 내용을 읽어보니  태양을 중심으로 내행성인 수성^ 금성,
,,외행성에 속하는 화성^ 목성^ 토성 이렇게 총 5개의 행성이 일렬로 늘어서는 ⓡ(행성대직렬)ⓦ이 4일뒤 새벽에 일어난다는 소식 이었습니다.,
,,이것이 지구 멸망의 징조라거니^ 중력이 겹쳐져 지구가 찌부러질지도 모른다느니 허무맹랑한 소리들이 적혀 있습니다.,
28,노아,§㉡㉧④§'이번엔 천문학자들이 연구비가 다 떨어졌나? 뭐^ 어린애들은 좋아할만한 소식이겠네.',
29,,⒭그렇게 생각한 당신은 그 이외에 기사도 읽어보려 신문을 뒤적거렸지만^ 특별히 이목을 끄는 기사를 찾을수는 없었습니다.,
30,노아,§㉡㉧⑫④§'이렇게 의미없이 앉아있을거 차라리 오늘은 일찍 문이나 닫고 허드슨네 바에 놀러나 갈까...?',
31,,⒭그렇게 태평한 생각을 하며 신문을 탁자위로 던져놓을 때...★①,
32,,⒭(딸랑~),
,,갑작스레 사무소의 문이 열리면서 위에 달아둔 종이 울립니다.,
33,,불행중 다행이라고 말하면 어떨지 모르겠지만 아무래도 의뢰자가 온것 같습니다.,
,,그녀는 30대 중반정도로 보이는 여인입니다. ,
,,당신이 뭔가 말을 꺼내려는 순간 그것을 눈치챘는지 그녀기 먼저 입을 엽니다.,
34,???,의뢰할 일이 있어서 찾아왔어요...,
35,,※㉦1111111111111111111111111111,
,,※㉦111111111111111111111,
